id,value
id_0,26.5025090028
id_1,62.1354976169
id_2,20.2935916924
id_3,28.8890487887
id_4,9.92441939684
id_5,36.1400505642
id_6,39.7716294535
id_7,16.2825357281
id_8,48.4427979406
id_9,33.1172190212
id_10,38.8970233871
id_11,58.5696665934
id_12,36.9709571835
id_13,41.5197592633
id_14,27.1424556987
id_15,12.4336452438
id_16,52.9736134978
id_17,22.6431396549
id_18,19.1674534426
id_19,19.5386818523
id_20,14.5420409208
id_21,28.2183370457
id_22,37.0067154723
id_23,9.67251795108
id_24,58.2602397973
id_25,44.1689458016
id_26,28.1474461597
id_27,9.03612266568
id_28,28.9706942988
id_29,35.4532971887
id_30,18.2750864795
id_31,11.4537773392
id_32,16.4891482191
id_33,6.63562601096
id_34,18.1789681744
id_35,39.2117335314
id_36,19.6218427419
id_37,28.3207252991
id_38,6.11899133148
id_39,59.7720803386
id_40,47.1867948486
id_41,16.8122584383
id_42,49.7241895954
id_43,18.1171003822
id_44,43.6883505273
id_45,51.5383130608
id_46,61.664412164
id_47,40.2185158865
id_48,51.152167566
id_49,41.4183689029
id_50,30.4644531221
id_51,24.7463281826
id_52,40.5000292412
id_53,25.2125375931
id_54,38.3204252066
id_55,39.9169006181
id_56,24.7502178947
id_57,21.8762270236
id_58,37.6283600934
id_59,31.4232387249
id_60,15.2104380471
id_61,23.4019958203
id_62,31.4609611545
id_63,54.9991189354
id_64,49.1069946761
id_65,26.4835797299
id_66,41.1404683734
id_67,54.5850552851
id_68,27.9240794112
id_69,38.7129249258
id_70,65.0160878615
id_71,53.4282930827
id_72,43.8271861435
id_73,11.0200830955
id_74,11.9567637473
id_75,36.1417648835
id_76,60.8476559288
id_77,2.95988861563
id_78,44.7969104632
id_79,40.4186924799
id_80,7.86669027764
id_81,22.10107512
id_82,7.34292235158
id_83,33.6444922901
id_84,10.5921197669
id_85,5.1943227179
id_86,15.8873226718
id_87,11.6646865537
id_88,13.2616764713
id_89,27.9029664256
id_90,30.216823675
id_91,11.0339101018
id_92,13.7571207554
id_93,7.25146298111
id_94,36.2966695736
id_95,16.0786312529
id_96,15.2814447924
id_97,8.45761906161
id_98,10.4774876283
id_99,3.86662159709
id_100,12.6575987857
id_101,18.2531855365
id_102,10.9427345906
id_103,5.12545670433
id_104,13.7689294047
id_105,36.8749308068
id_106,27.5932571576
id_107,7.81449426111
id_108,16.3226904122
id_109,16.0559004417
id_110,14.0804430839
id_111,17.3173910635
id_112,13.0076329946
id_113,28.1950962647
id_114,22.0341868147
id_115,15.0813114958
id_116,8.86975989809
id_117,44.5019697977
id_118,29.6792628759
id_119,1.26169822165
id_120,1.70791084934
id_121,11.2078352792
id_122,15.3545779068
id_123,15.1289792198
id_124,6.35536857047
id_125,26.2194426323
id_126,21.1738823436
id_127,13.1832806672
id_128,19.9110042273
id_129,17.8061272244
id_130,3.84067509975
id_131,36.081763642
id_132,14.0642974355
id_133,26.8605464921
id_134,23.6128271866
id_135,20.6458647417
id_136,9.92651916528
id_137,19.6579563908
id_138,77.8218849329
id_139,63.9572628786
id_140,26.9974385417
id_141,16.9101516086
id_142,24.8542609494
id_143,7.97230212076
id_144,10.7525467374
id_145,10.1859594887
id_146,21.2836072309
id_147,7.2538932257
id_148,13.6272972094
id_149,16.7189654838
id_150,50.8433744382
id_151,21.5557924985
id_152,24.2936733503
id_153,15.3323720397
id_154,14.4120707599
id_155,27.5679364608
id_156,21.5038777994
id_157,34.0452995715
id_158,3.27639996219
id_159,19.5866902874
id_160,44.0341273391
id_161,18.6480328426
id_162,56.4962854641
id_163,19.2058041871
id_164,36.6784825841
id_165,24.3706487997
id_166,21.7368749958
id_167,0.766535520434
id_168,66.7782394445
id_169,18.0694439164
id_170,17.3948557514
id_171,68.4663703948
id_172,20.7413127103
id_173,2.13963262368
id_174,23.7643053657
id_175,2.05516382002
id_176,6.05510400429
id_177,19.146361128
id_178,20.2056733085
id_179,20.9222296403
id_180,42.8888990481
id_181,27.0676943403
id_182,28.8139449887
id_183,12.1797491941
id_184,8.46187097636
id_185,41.375758768
id_186,36.7440198395
id_187,32.9598847129
id_188,16.2637406522
id_189,21.5088396587
id_190,14.4668841659
id_191,14.4937607256
id_192,33.0878126338
id_193,78.3238276913
id_194,29.2909161941
id_195,11.384595559
id_196,61.8280106507
id_197,14.781343218
id_198,19.3308317233
id_199,23.6019181523
id_200,125.918640643
id_201,26.451514306
id_202,58.2450646238
id_203,5.14087611015
id_204,63.0656268945
id_205,35.4095212481
id_206,16.9075269031
id_207,14.0530284468
id_208,64.2406615253
id_209,14.2538765075
id_210,28.4707061128
id_211,73.1097310439
id_212,20.3744678709
id_213,118.286792594
id_214,39.7841112816
id_215,84.5224297062
id_216,93.2283060228
id_217,71.2691025946
id_218,28.7517977066
id_219,19.2710487925
id_220,31.8402567328
id_221,55.9375175878
id_222,28.7151565293
id_223,39.8538627969
id_224,44.0794318093
id_225,7.68326123117
id_226,3.82736508643
id_227,69.6574795035
id_228,28.2264352841
id_229,1.34599640705
id_230,40.2806226459
id_231,15.0757292447
id_232,21.5694782078
id_233,8.1903592632
id_234,11.504231131
id_235,21.7117773917
id_236,12.2699878255
id_237,-0.0416339996637
id_238,21.339514738
id_239,0.511546449564
