0,26
1,39
2,36
3,35
4,31
5,28
6,25
7,20
8,19
9,30
10,41
11,44
12,33
13,37
14,36
15,45
16,42
17,49
18,45
19,44
20,41
21,30
22,24
23,13
24,21
25,23
26,30
27,30
28,22
29,18
30,13
31,13
32,11
33,22
34,25
35,34
36,38
37,50
38,53
39,43
40,43
41,45
42,46
43,32
44,16
45,19
46,22
47,26
48,19
49,25
50,27
51,20
52,16
53,14
54,15
55,8
56,4
57,9
58,16
59,22
60,23
61,29
62,32
63,36
64,34
65,45
66,40
67,41
68,23
69,29
70,23
71,37
72,27
73,27
74,14
75,20
76,22
77,24
78,26
79,33
80,48
81,50
82,49
83,45
84,63
85,63
86,62
87,55
88,56
89,67
90,78
91,83
92,90
93,75
94,85
95,82
96,80
97,80
98,76
99,81
100,75
101,66
102,70
103,65
104,66
105,57
106,56
107,64
108,67
109,72
110,64
111,73
112,57
113,57
114,53
115,70
116,70
117,60
118,68
119,66
120,66
121,55
122,46
123,46
124,46
125,42
126,35
127,35
128,40
129,45
130,48
131,57
132,57
133,59
134,62
135,59
136,61
137,50
138,60
139,62
140,62
141,50
142,45
143,43
144,41
145,32
146,35
147,31
148,33
149,25
150,36
151,28
152,33
153,29
154,42
155,56
156,66
157,78
158,62
159,61
160,47
161,54
162,57
163,59
164,61
165,43
166,39
167,38
168,48
169,53
170,60
171,60
172,52
173,47
174,45
175,50
176,43
177,40
178,42
179,41
180,39
181,36
182,35
183,36
184,36
185,32
186,33
187,33
188,34
189,21
190,15
191,13
192,18
193,15
194,9
195,9
196,14
197,15
198,20
199,16
200,23
201,16
202,17
203,9
204,7
205,7
206,20
207,20
208,20
209,18
210,18
211,22
212,15
213,11
214,1
215,1
216,6
217,7
218,7
219,0
220,0
221,1
222,1
223,7
224,7
225,8
226,4
227,8
228,12
229,19
230,23
231,20
232,18
233,15
234,16
235,10
236,6
237,11
238,22
239,28
240,25
241,21
242,25
243,24
244,23
245,18
246,20
247,14
248,7
249,17
250,31
251,44
252,43
253,46
254,36
255,36
256,29
257,32
258,33
259,30
260,40
261,36
262,46
263,41
264,48
265,56
266,62
267,52
268,40
269,32
270,37
271,31
272,34
273,32
274,33
275,31
276,21
277,20
278,19
279,24
280,25
281,14
282,16
283,22
284,23
285,18
286,6
287,9
288,10
289,10
290,10
291,13
292,18
293,16
294,7
295,5
296,2
297,11
298,8
299,21
300,17
301,23
302,18
303,29
304,38
305,43
306,44
307,48
308,47
309,36
310,25
311,23
312,29
313,23
314,21
315,21
316,30
317,26
318,26
319,26
320,23
321,16
322,4
323,6
324,6
325,8
326,10
327,6
328,4
329,7
330,14
331,20
332,17
333,14
334,13
335,9
336,9
337,4
338,8
339,5
340,14
341,11
342,13
343,4
344,9
345,15
346,23
347,23
348,18
349,10
350,4
351,13
352,14
353,18
354,20
355,25
356,24
357,27
358,40
359,37
360,36
361,32
362,29
363,26
364,21
365,20
366,31
367,42
368,45
369,34
370,38
371,37
372,46
373,43
374,50
375,46
376,45
377,42
378,31
379,25
380,14
381,22
382,24
383,31
384,31
385,23
386,19
387,14
388,14
389,12
390,23
391,26
392,35
393,39
394,51
395,54
396,44
397,44
398,46
399,47
400,33
401,17
402,20
403,23
404,27
405,20
406,26
407,28
408,21
409,17
410,15
411,16
412,9
413,5
414,10
415,17
416,23
417,24
418,30
419,33
420,37
421,35
422,46
423,41
424,42
425,24
426,30
427,24
428,38
429,28
430,28
431,15
432,21
433,23
434,25
435,27
436,34
437,49
438,51
439,50
440,46
441,64
442,64
443,63
444,56
445,57
446,68
447,79
448,84
449,91
450,76
451,86
452,83
453,81
454,81
455,77
456,82
457,76
458,67
459,71
460,66
461,67
462,58
463,57
464,65
465,68
466,73
467,65
468,74
469,58
470,58
471,54
472,71
473,71
474,61
475,69
476,67
477,67
478,56
479,47
480,47
481,32
482,36
483,29
484,16
485,10
486,23
487,27
488,33
489,21
490,32
491,30
492,36
493,26
494,21
495,19
496,19
497,19
498,18
499,27
500,37
501,39
502,31
503,25
504,22
505,20
506,13
507,8
508,15
509,13
510,22
511,19
512,23
513,15
514,17
515,13
516,21
517,22
518,33
519,28
520,25
521,21
522,23
523,27
524,29
525,30
526,31
527,29
528,31
529,26
530,17
531,13
532,18
533,29
534,22
535,21
536,23
537,34
538,32
539,24
540,23
541,28
542,30
543,32
544,24
545,27
546,17
547,20
548,20
549,29
550,25
551,25
552,22
553,27
554,22
555,31
556,32
557,35
558,25
559,14
560,7
561,0
562,2
563,7
564,11
565,7
566,8
567,12
568,15
569,17
570,9
571,11
572,5
573,7
574,5
575,9
576,6
577,6
578,4
579,4
580,0
581,0
582,0
583,2
584,2
585,2
586,8
587,8
588,8
589,20
590,28
591,36
592,23
593,21
594,25
595,16
596,19
597,17
598,18
599,12
600,13
601,22
602,29
603,21
604,21
605,14
606,16
607,6
608,11
609,10
610,14
611,8
612,23
613,21
614,29
615,29
616,34
617,39
618,40
619,52
620,50
621,50
622,40
623,43
624,46
625,44
626,38
627,36
628,23
629,19
630,7
631,21
632,20
633,25
634,16
635,18
636,20
637,25
638,24
639,25
640,27
641,24
642,23
643,20
644,28
645,41
646,34
647,39
648,32
649,35
650,25
651,13
652,12
653,7
654,7
655,6
656,7
657,9
658,6
659,6
660,4
661,6
662,7
663,15
664,12
665,7
666,0
667,3
668,5
669,9
670,4
671,8
672,4
673,6
674,0
675,0
676,0
677,7
678,7
679,5
680,7
681,10
682,10
683,3
684,0
685,0
686,11
687,12
688,12
689,2
690,6
691,6
692,4
693,0
694,1
695,0
696,0
697,0
698,4
699,4
700,8
701,9
702,13
703,10
704,4
705,0
706,5
707,5
708,5
709,4
710,3
711,11
712,7
713,15
714,8
715,19
716,10
717,9
718,3
719,3
720,4
721,0
722,2
723,1
724,11
725,13
726,13
727,15
728,17
729,23
730,20
731,15
732,12
733,9
734,6
735,4
736,4
737,6
738,6
739,7
740,8
741,8
742,13
743,4
744,12
745,7
746,7
747,1
748,0
749,0
750,1
751,4
752,6
753,4
754,1
755,6
756,9
757,9
758,6
759,14
760,14
761,78
762,45
763,37
764,13
765,12
766,5
767,11
768,8
769,8
770,4
771,10
772,10
773,5
774,1
775,3
